1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
27,'Minnesota',58815          ,'County Highway Agency','115','Pine County','29294','29294','Hinckley city',1962,590,'Prestressed Concrete','Slab',3,112.9,'GRINDSTONE RIVER        ','CR 140            ','Poor',60,3480.6
27,'Minnesota',22594          ,'Town or Township Highway Agency','043','Faribault County','19016','0','No Place Code',2002,65,'Concrete Continuous','Slab',3,80.7,'Blue Earth River        ','T 234             ','Good',23,2833.3
27,'Minnesota',70012          ,'State Highway Agency','139','Scott County','31580','59350','Shakopee city',1995,415,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,209,'US 169                  ','MSAS 117          ','Fair',30,9667.8
27,'Minnesota',93002          ,'Town or Township Highway Agency','139','Scott County','28322','0','No Place Code',1973,731,'Concrete','Culvert',2,23,'W BR RAVEN STREAM       ','T 871             ','Good',52,828.8
27,'Minnesota',69065          ,'State Highway Agency','137','St. Louis County','45664','0','No Place Code',2012,1850,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,91.5,'US 53 SB                ','MN 33             ','Good',13,3243.4
27,'Minnesota',22611          ,'County Highway Agency','043','Faribault County','19016','0','No Place Code',2011,268,'Concrete Continuous','Slab',3,88.6,'W BR BLUE EARTH RIVER   ','CSAH 2            ','Good',14,3138.8
27,'Minnesota',27V61          ,'State Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',2005,700,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,241.5,'I 494                   ','MSAS 131          ','Good',20,12675.6
27,'Minnesota',7771           ,'County Highway Agency','137','St. Louis County','30302','30302','Hoyt Lakes city',1956,3350,'Concrete','Girder and Floorbeam System',1,33.1,'CHANNEL                 ','CSAH 110          ','Fair',69,2250.4
27,'Minnesota',09819          ,'State Highway Agency','017','Carlton County','3646','0','No Place Code',1968,660,'Steel Continuous','Stringer/Multi-beam or Girder',4,281.8,'I 35                    ','CSAH 13           ','Good',57,9431.1
27,'Minnesota',02015          ,'County Highway Agency','003','Anoka County','13114','13114','Coon Rapids city',2002,18067,'Concrete Continuous','Slab',38,961.3,'COON CREEK; WEAK SOIL   ','CSAH 14           ','Good',23,100922.3
27,'Minnesota',22543          ,'Town or Township Highway Agency','043','Faribault County','19016','0','No Place Code',1978,35,'Prestressed Concrete','Tee Beam',3,119.4,'W BR BLUE EARTH RIVER   ','T 7               ','Fair',47,3839.7
27,'Minnesota',9788           ,'State Highway Agency','115','Pine County','29294','29294','Hinckley city',1960,8150,'Prestressed Concrete','Slab',3,113.5,'GRINDSTONE RIVER        ','I 35              ','Fair',64,4953.3
27,'Minnesota',9785           ,'State Highway Agency','115','Pine County','29294','29294','Hinckley city',1959,4667,'Steel Continuous','Stringer/Multi-beam or Girder',4,196.5,'I 35                    ','CSAH 61           ','Fair',66,13024.1
27,'Minnesota',93000          ,'County Highway Agency','139','Scott County','28322','0','No Place Code',1973,1164,'Concrete','Culvert',2,23,'W BR RAVEN STREAM       ','CSAH 11           ','Good',52,783.6
27,'Minnesota',9787           ,'State Highway Agency','115','Pine County','29294','29294','Hinckley city',1960,8150,'Prestressed Concrete','Slab',3,113.5,'GRINDSTONE RIVER        ','I 35              ','Poor',65,4953.3
27,'Minnesota',58531          ,'County Highway Agency','115','Pine County','51784','0','No Place Code',1993,597,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,78.4,'MISSION CREEK           ','CSAH 53           ','Good',32,3087.1
27,'Minnesota',09818          ,'State Highway Agency','017','Carlton County','3646','0','No Place Code',1968,8200,'Steel Continuous','Stringer/Multi-beam or Girder',3,107,'MOOSE HORN RIVER        ','I 35              ','Poor',57,4386.3
27,'Minnesota',91052          ,'State Highway Agency','053','Hennepin County','43252','43252','Minnetonka city',1965,4220,'Concrete','Culvert',2,23.6,'Minnehaha Creek         ','CON 141           ','Fair',60,1131.5
27,'Minnesota',09519          ,'State Park, Forest, or Reservation Agency','017','Carlton County','39464','39446','Mahtowa CDP',1995,1224,'Concrete','Culvert',1,41,'WILLARD MUNGER TRAIL    ','CSAH 61           ','Good',30,1641.5
27,'Minnesota',09817          ,'State Highway Agency','017','Carlton County','3646','0','No Place Code',1968,8200,'Steel Continuous','Stringer/Multi-beam or Girder',3,107,'MOOSE HORN RIVER        ','I 35              ','Poor',57,4386.3
