1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
2,'Alaska',100310000001017,'','220','Sitka City and Borough','0','','',1979,0,'','',1,68.9,'NO DATA ENTERED         ','NO DATA ENTERED   ','',40,1017.2
2,'Alaska',100532000003354,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,39.7,'STREAM                  ','ROAD              ','Poor',123,833.6
2,'Alaska',100320000001070,'U.S. Forest Service','220','Sitka City and Borough','0','','',1989,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,40.7,'STREAM                  ','LOGGING ROAD      ','Poor',30,854.2
2,'Alaska',100320000001074,'U.S. Forest Service','220','Sitka City and Borough','0','','',1988,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,59.7,'STREAM                  ','LOGGING ROAD      ','Poor',31,1332.1
2,'Alaska',100320000001069,'U.S. Forest Service','220','Sitka City and Borough','0','','',1988,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,61,'STREAM                  ','LOGGING ROAD      ','Poor',31,1301.4
2,'Alaska',100210000001026,'U.S. Forest Service','280','280','0','','',1987,0,'Wood or Timber','Stringer/Multi-beam or Girder',1,59.7,'STREAM                  ','LOGGING ROAD      ','Poor',32,1390.9
2,'Alaska',100210000001027,'U.S. Forest Service','280','280','0','','',1987,0,'Wood or Timber','Stringer/Multi-beam or Girder',1,51.8,'STREAM                  ','LOGGING ROAD      ','Fair',32,1207.5
2,'Alaska',100320000001071,'U.S. Forest Service','220','Sitka City and Borough','0','','',1989,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,42,'STREAM                  ','LOGGING ROAD      ','Poor',30,923.1
2,'Alaska',100521000003171,'U.S. Forest Service','280','280','99833','','',1990,10,'Steel','Stringer/Multi-beam or Girder',1,70.9,'NO DATA ENTERED         ','LOGGING ROAD      ','Good',29,1255.5
2,'Alaska',100210000001305,'U.S. Forest Service','280','280','0','','',1992,50,'Steel','Culvert',2,39.4,'STREAM                  ','ROAD              ','Good',27,620
2,'Alaska',100210000001295,'U.S. Forest Service','280','280','0','','',1975,20,'Steel','Culvert',1,24.3,'STREAM                  ','ROAD              ','Good',44,382.3
2,'Alaska',           1853,'Other State Agencies','140','140','54700','','',1988,100,'Steel','Stringer/Multi-beam or Girder',5,200.1,'STRAIGHT CREEK          ','RED DOG MINE RD   ','Good',31,6172
2,'Alaska',           1858,'Other State Agencies','140','140','54700','','',1988,100,'Steel','Stringer/Multi-beam or Girder',1,40,'LITTLE CREEK            ','RED DOG MINE RD   ','Good',31,1234.4
2,'Alaska',           1634,'Other State Agencies','100','Haines Borough','31050','','',1979,10,'Wood or Timber','Stringer/Multi-beam or Girder',1,24.9,'UNNAMED CREEK           ','LOGGING ROAD      ','Poor',40,384.5
2,'Alaska',100554000003077,'U.S. Forest Service','201','201','0','','',2002,0,'Wood or Timber','Slab',1,33.8,'STORED                  ','NO DATA ENTERED   ','Good',17,587.6
2,'Alaska',            714,'National Park Service','290','Yukon-Koyukuk Census Area','0','','',1957,300,'Steel','Stringer/Multi-beam or Girder',3,107.9,'             STONY CREEK','  DENALI PARK ROAD','Fair',62,3081
2,'Alaska',100320000001229,'U.S. Forest Service','220','Sitka City and Borough','0','','',1987,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,49.9,'UNKNOWN                 ','ROAD              ','',32,0
